env,num_drones,runs,success_rate,time_mean,time_ci_low,time_ci_high,length_mean,length_ci_low,length_ci_high,iters_mean,iters_ci_low,iters_ci_high,nodes_mean,nodes_ci_low,nodes_ci_high
envs_q5/q5_drone1.yaml,1,30,1.0,0.04267735481262207,0.029192574663520203,0.05616213496172393,53.5650238931179,53.170732483889466,53.95931530234634,9.033333333333333,8.227758542705537,9.83890812396113,11.033333333333333,10.227758542705537,11.83890812396113
envs_q5/q5_drone2.yaml,2,30,1.0,0.03785842259724935,0.03673987167811184,0.03897697351638686,103.21993989944458,102.72986323191142,103.71001656697774,9.066666666666666,8.210859333459664,9.922473999873668,11.066666666666666,10.210859333459664,11.922473999873668
envs_q5/q5_drone3.yaml,3,30,1.0,0.043522365887959796,0.041511895955052336,0.04553283582086726,152.5418976823489,151.9757391545946,153.10805621010317,8.666666666666666,7.758783777194589,9.574549556138743,10.666666666666666,9.758783777194589,11.574549556138743
envs_q5/q5_drone4.yaml,4,30,1.0,0.06935937404632568,0.05778684763541285,0.08093190045723851,203.8631341099739,203.39970923691908,204.32655898302875,9.2,8.506876070526204,9.893123929473795,11.2,10.506876070526204,11.893123929473795
envs_q5/q5_drone5.yaml,5,30,1.0,0.0809234619140625,0.06868982142085936,0.09315710240726563,256.6354017972946,256.033737194462,257.2370664001272,8.9,7.98236115084895,9.81763884915105,10.9,9.98236115084895,11.81763884915105
envs_q5/q5_drone6.yaml,6,30,1.0,0.07078388532002768,0.0688434672808512,0.07272430335920416,324.2882158517838,323.81879644541874,324.7576352581488,9.433333333333334,8.856452514682546,10.01021415198412,11.433333333333334,10.856452514682546,12.01021415198412
envs_q5/q5_drone7.yaml,7,30,1.0,1.7620208263397217,1.4239644608254323,2.100077191854011,582.1076501607895,567.1603856269747,597.0549146946042,609.2333333333333,509.8125315749311,708.6541350917356,288.96666666666664,253.28549749437192,324.6478358389614
envs_q5/q5_drone8.yaml,8,30,1.0,10.32513887087504,7.702166229925357,12.948111511824724,791.1422311623891,771.4896985233296,810.7947638014485,2558.6666666666665,2124.341720391843,2992.99161294149,1302.6666666666667,1072.9874445992323,1532.3458887341012
envs_q5/q5_drone9.yaml,9,30,1.0,12.740194193522136,9.572127428853547,15.908260958190725,907.67212378184,887.2164841015419,928.1277634621381,3105.3333333333335,2661.720637042761,3548.946029623906,1475.0,1237.251631331364,1712.748368668636
envs_q5/q5_drone10.yaml,10,30,1.0,17.478285050392152,12.46638431148902,22.490185789295285,1066.8583544969558,1049.2970085501006,1084.419700443811,5345.333333333333,4637.762797119446,6052.90386954722,1646.8666666666666,1323.9911276139856,1969.7422057193476
envs_q5/q5_drone11.yaml,11,30,1.0,23.917739407221475,17.26099127766629,30.57448753677666,1219.4932013432185,1185.886534813727,1253.09986787271,8546.166666666666,7557.188610485144,9535.144722848188,1745.8666666666666,1403.602630240484,2088.130703092849
envs_q5/q5_drone12.yaml,12,30,0.6333333333333333,87.407431101799,75.58720198199072,99.2276602216073,1429.1684655013837,1376.6207705289905,1481.7161604737769,18943.533333333333,16958.71670584667,20928.349960819996,3406.8333333333335,2958.035056884153,3855.631609782514
