env,num_drones,success_rate,time_mean,time_ci_low,time_ci_high,length_mean,length_ci_low,length_ci_high
envs_q5/q5_drone1.yaml,1,1.0,0.042677354812622,0.0291925746635202,0.0561621349617239,53.5650238931179,53.170732483889466,53.95931530234634
envs_q5/q5_drone2.yaml,2,1.0,0.0378584225972493,0.0367398716781118,0.0389769735163868,103.21993989944458,102.72986323191142,103.71001656697774
envs_q5/q5_drone3.yaml,3,1.0,0.0435223658879597,0.0415118959550523,0.0455328358208672,152.5418976823489,151.9757391545946,153.10805621010317
envs_q5/q5_drone4.yaml,4,1.0,0.0693593740463256,0.0577868476354128,0.0809319004572385,203.8631341099739,203.39970923691908,204.32655898302875
envs_q5/q5_drone5.yaml,5,1.0,0.0809234619140625,0.0686898214208593,0.0931571024072656,256.6354017972946,256.033737194462,257.2370664001272
envs_q5/q5_drone6.yaml,6,1.0,0.0707838853200276,0.0688434672808512,0.0727243033592041,324.2882158517838,323.81879644541874,324.7576352581488
envs_q5/q5_drone7.yaml,7,1.0,1.7620208263397217,1.4239644608254325,2.100077191854011,582.1076501607895,567.1603856269747,597.0549146946042
envs_q5/q5_drone8.yaml,8,1.0,10.32513887087504,7.702166229925357,12.948111511824724,791.1422311623891,771.4896985233296,810.7947638014485
envs_q5/q5_drone9.yaml,9,1.0,12.740194193522136,9.572127428853548,15.908260958190723,907.67212378184,887.2164841015419,928.127763462138
envs_q5/q5_drone10.yaml,10,1.0,17.478285050392152,12.46638431148902,22.490185789295285,1066.8583544969558,1049.2970085501006,1084.419700443811
envs_q5/q5_drone11.yaml,11,1.0,23.917739407221475,17.26099127766629,30.57448753677666,1219.4932013432183,1185.886534813727,1253.09986787271
envs_q5/q5_drone12.yaml,12,0.6333333333333333,87.407431101799,75.58720198199072,99.2276602216073,1429.1684655013837,1376.6207705289903,1481.7161604737769
